PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT
1630175,Cole Anthony,NBA,2024-25,Guard,G,67,18.4,9.4,2.9,3.0,0.7,0.5,1.5,8.1,1.7,3.3,0.238
1631306,Cole Swider,NBA,2024-25,,,10,17.0,5.9,0.3,2.7,0.4,0.2,0.4,6.3,0.1,4.7,0.155
1630658,Colin Castleton,NBA,2024-25,Big,C,26,16.6,4.7,1.1,4.7,0.3,0.4,0.9,3.8,1.5,0.6,0.125
1631221,Collin Gillespie,NBA,2024-25,Guard,G,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,4.8,0.7,2.7,0.17
1629012,Collin Sexton,NBA,2024-25,Guard,G,63,27.9,18.4,4.2,2.7,0.7,0.1,2.5,13.8,4.0,4.3,0.264
1630557,Corey Kispert,NBA,2024-25,Wing,F,61,26.3,11.6,1.7,3.0,0.4,0.2,1.0,9.3,1.4,5.4,0.169
202709,Cory Joseph,NBA,2024-25,Guard,G,50,12.2,3.5,1.4,1.5,0.5,0.1,0.4,3.1,0.4,2.1,0.126
1641854,Craig Porter Jr.,NBA,2024-25,Guard,G,51,10.1,3.7,1.4,1.3,0.3,0.3,0.7,2.7,0.6,0.9,0.155
1642385,Cui Cui,NBA,2024-25,,,5,2.1,0.6,0.0,0.4,0.0,0.0,0.0,1.4,0.4,0.6,0.296
1626156,D'Angelo Russell,NBA,2024-25,Guard,G,58,25.5,12.6,5.1,2.8,1.0,0.4,1.9,11.0,2.5,6.2,0.228
1630618,D.J. Carton,NBA,2024-25,,,4,8.3,0.8,0.8,1.0,0.5,0.0,1.0,1.8,0.3,0.8,0.122
1629610,DaQuan Jeffries,NBA,2024-25,Wing,G-F,47,22.8,6.7,1.1,2.9,0.6,0.5,0.7,6.2,0.6,3.5,0.136
1631342,Daeqwon Plowden,NBA,2024-25,Wing,G-F,6,11.9,7.2,0.3,1.8,0.0,0.0,0.7,4.2,0.3,2.8,0.181
1630227,Daishen Nix,NBA,2024-25,,,3,4.4,0.3,1.0,1.3,0.0,0.0,1.3,0.3,0.7,0.3,0.176
1630625,Dalano Banton,NBA,2024-25,Wing,F,67,16.7,8.3,2.4,2.0,0.6,0.5,1.3,7.6,1.9,3.3,0.237
1631207,Dalen Terry,NBA,2024-25,Wing,F,73,13.5,4.5,1.3,1.7,0.6,0.2,0.7,3.7,0.9,1.4,0.142
1642261,Dalton Knecht,NBA,2024-25,Wing,F,78,19.2,9.1,0.8,2.8,0.3,0.1,0.5,7.1,1.1,4.4,0.181
203081,Damian Lillard,NBA,2024-25,Guard,G,58,36.1,24.9,7.1,4.7,1.2,0.2,2.8,17.1,6.8,9.0,0.269
1641878,Damion Baugh,NBA,2024-25,Guard,G,15,24.7,7.3,3.7,3.3,1.0,0.1,2.1,8.7,1.0,3.7,0.186
1627814,Damion Lee,NBA,2024-25,Wing,G-F,25,5.8,3.3,0.4,0.8,0.2,0.0,0.4,3.0,0.8,1.5,0.269
1629655,Daniel Gafford,NBA,2024-25,Big,F-C,57,21.5,12.3,1.4,6.8,0.4,1.8,1.2,7.1,3.4,0.0,0.186
1628464,Daniel Theis,NBA,2024-25,,,38,16.3,4.3,1.6,4.3,0.5,0.5,0.7,3.4,1.0,1.0,0.111
1642450,Daniss Jenkins,NBA,2024-25,Guard,G,7,3.2,1.0,0.4,0.3,0.0,0.0,0.1,1.4,0.3,1.0,0.231
203957,Dante Exum,NBA,2024-25,Guard,G,20,18.6,8.7,2.8,1.7,0.6,0.2,1.1,6.7,1.6,2.7,0.193
203967,Dario Saric,NBA,2024-25,Big,F-C,16,13.1,3.5,1.4,3.1,0.4,0.1,0.9,3.6,0.6,1.6,0.157
